,Domain,Company,Location,Start_Date,Duration,Stipend,Apply_by
0,Business Development (Sales),AUMHUM,Work From Home,Immediately,2 Months,"1,000 /month +  Incentives",7 Sep' 22
1,Volunteering (Fundraising),Childo Education Research And Development Foundation,Work From Home,Immediately,2 Weeks,Unpaid,26 Aug' 22
2,Operations,Hamari Pahchan NGO,Work From Home,Immediately,1 Month,Unpaid,5 Sep' 22
3,Business Development (Sales),ZAPS Marketing Private Limited,Hyderabad,Immediately,3 Months,"3,000-20,000 /month",25 Aug' 22
4,Social Media Marketing,Cricket Academy of Pathans,Delhi,Immediately,2 Months,"10,000-12,000 /month",30 Aug' 22
5,Volunteering,Make A Difference,Mangaluru,Immediately,6 Months,Unpaid,31 Aug' 22
6,Business Development (Sales),Decathlon Sports India Private Limited,Mumbai,Immediately,3 Months,"15,000 /month",30 Aug' 22
7,Human Resources (HR),Jubilant FoodWorks Limited (Domino's India),Mohali,Immediately,6 Months,"18,000 /month",30 Aug' 22
8,Artist & Repertoire,Saregama India Limited,Delhi,Immediately,4 Months,"5,000-10,000 /month",30 Aug' 22
9,Human Resources (HR),Aditya Birla Fashion & Retail,Bangalore,Immediately,2 Months,"8,000-10,000 /month",30 Aug' 22
10,Graphic Design,IIT Bombay,Work From Home,Immediately,6 Months,"1,000-2,000 /month",29 Aug' 22
11,Business Development (Sales),Urban Company,Mumbai,Immediately,3 Months,"18,000-22,000 /month",29 Aug' 22
12,Campus Ambassador,Saarang IIT Madras,Work From Home,Immediately,4 Months,Performance Based,29 Aug' 22
13,Business Development (Sales),Urban Company,Nagpur,Immediately,4 Months,"10,250 /month",29 Aug' 22
14,Human Resources (HR),Flipkart,Kota,Immediately,3 Months,"20,000 /month",29 Aug' 22
15,Assistance Direction (Video Ads & TV Advertising),Viacom India LLP,Delhi,Immediately,6 Months,"3,000-6,000 /month",29 Aug' 22
16,Business Development (Sales),Urban Company,Ahmedabad,Immediately,2 Months,"20,000 /month",25 Aug' 22
17,Business Development (Sales),Urban Company,Chandigarh,Immediately,3 Months,"15,000 /month",26 Aug' 22
18,Marketing,WWF-India,Mumbai,Immediately,6 Months,"10,000 /month",27 Aug' 22
19,Quality Assurance,Titan Company Limited,Hosur,Immediately,6 Months,"10,000 /month",26 Aug' 22
20,Human Resources (HR),NestAway Technologies,Hyderabad,Immediately,3 Months,"12,000 /month",26 Aug' 22
21,Operations/Business Development,Urban Company,Ahmedabad,Immediately,4 Months,"18,000 /month",26 Aug' 22
22,Youth For Nature Conservation Programme,WWF-India,Work From Home,Immediately,4 Weeks,Unpaid,26 Aug' 22
23,Online Fundrasing,Teach For India,Work From Home,Immediately,6 Weeks,Unpaid,26 Aug' 22
24,Business Development (Sales),UpGrad (UpGrad Education Private Limited),Bhandara,Immediately,2 Months,"3,000 /month +  Incentives",26 Aug' 22
25,Graphic Design,Cultfit Healthcare Private Limited,Bangalore,Immediately,3 Months,"15,000-20,000 /month",26 Aug' 22
26,Business Development (Sales),Urban Company,Mumbai,Immediately,3 Months,"15,000 /month +  Incentives",24 Aug' 22
27,Human Resources (HR),Aditya Birla Fashion & Retail,Bangalore,Immediately,6 Months,"25,000-40,000 /month",24 Aug' 22
28,React UI Development,IIT Bombay,Work From Home,Immediately,6 Months,"1,000-2,000 /month",24 Aug' 22
29,Business Development (Sales),Decathlon Sports India Private Limited,Mumbai,Immediately,6 Months,"10,000 /month",24 Aug' 22
30,Human Resources (HR),Justdial Limited,Chennai,Immediately,3 Months,"7,000 /month",24 Aug' 22
31,Marketing,Decathlon Sports India,Amritsar,Immediately,5 Months,"10,000-15,000 /month",24 Aug' 22
32,Operations,Mobile Premier League,Bangalore,Immediately,3 Months,"15,000 /month",24 Aug' 22
33,University Partnership,UpGrad (UpGrad Education Private Limited),Bangalore,Immediately,3 Months,"20,000 /month",31 Aug' 22
34,Graphic Design,Decathlon Sports India Private Limited,Bangalore,Immediately,3 Months,"20,000 /month",24 Aug' 22
35,Embedded Electronic Systems,IISC Bangalore CPDM,Bangalore,Immediately,6 Months,"4,000 /month",26 Aug' 22
36,Marketing,Conde Nast India,Mumbai,Immediately,3 Months,"3,500 /month",24 Aug' 22
37,Operations,Rapido - India's Largest Bike Taxi,Hyderabad,Immediately,6 Months,"15,000 /month",24 Aug' 22
38,Research,BookMyShow,Mumbai,Immediately,3 Months,"7,500 /month",24 Aug' 22
39,Operations,Urban Company,Nashik,Immediately,6 Months,"18,000-22,000 /month",25 Aug' 22
40,Acting,Home Of Beautiful Souls Foundation,Ahmedabad,Immediately,3 Months,Unpaid,24 Aug' 22
41,Content Writing,Home Of Beautiful Souls Foundation,Ahmedabad,Immediately,3 Months,Unpaid,24 Aug' 22
42,Operations,Xiaomi Technology India Private Limited,Bangalore,Immediately,6 Months,"20,000 /month",24 Aug' 22
43,Sales,EazyDiner,Lucknow,Immediately,6 Months,"10,000 /month",24 Aug' 22
44,Business Development (Sales),NoBroker Technologies Solution Private Limited,Bangalore,Immediately,3 Months,"20,000 /month",23 Aug' 22
45,Sales & Marketing,BYJU'S The Learning App,Mumbai,Immediately,3 Months,"20,000 /month",23 Aug' 22
46,Public Relations & Outreach,WWF-India,Delhi,Immediately,4 Months,"6,000 /month",24 Aug' 22
47,Human Resources (HR),HCL Technologies,Delhi,Immediately,3 Months,"3,500-6,000 /month",24 Aug' 22
48,E-Commerce Management,Saregama India Limited,Mumbai,Immediately,6 Months,"10,000 /month",23 Aug' 22
49,Marketing,Aditya Birla Capital,Kolkata,Immediately,3 Months,"2,000 /month +  Incentives",23 Aug' 22
50,Sales & Marketing,Decathlon Sport India Private Limited,Chennai,Immediately,3 Months,"10,000 /month",23 Aug' 22
51,C++ Development (QT Creator),IIT Bombay,Work From Home,Immediately,6 Months,"1,000-2,000 /month",22 Aug' 22
52,Fellowship Recruitment,Teach For India,Ahmedabad,Immediately,6 Months,"4,000 /month",22 Aug' 22
53,Motion Graphic Design,Seven Seas Hospitality,Delhi,Immediately,6 Months,"7,000-10,000 /month",22 Aug' 22
54,Human Resources (HR),Bewakoof,Bangalore,Immediately,3 Months,"10,000 /month",23 Aug' 22
55,Human Resources (HR),Decathlon Sports India,Bangalore,Immediately,6 Months,"22,000 /month",22 Aug' 22
56,Business Development (Roller Sports),Decathlon Sport India Private Limited,Pune,Immediately,2 Months,"5,000-10,000 /month",22 Aug' 22
57,Omni Sports Leadership (Kids Fitness),Decathlon Sport India Private Limited,Pune,Immediately,2 Months,"5,000 /month",22 Aug' 22
58,Social Media Ads,Aam Aadmi Party,Delhi,Immediately,2 Months,Unpaid,22 Aug' 22
59,Teaching,Teach For India,Delhi,Immediately,2 Months,Unpaid,21 Aug' 22
60,Marketing,BYJU'S - The Learning App,Jabalpur,Immediately,3 Months,"18,000 /month",20 Aug' 22
61,Human Resources (HR),Vistara,Gurgaon,Immediately,6 Months,"10,000 /month",21 Aug' 22
62,Media & Public Relations (PR),Aam Aadmi Party,Work From Home,Immediately,3 Months,Unpaid,21 Aug' 22
63,Business Development (Sales),FirstCry.com,Bangalore,Immediately,6 Months,"18,000-20,000 /month",20 Aug' 22
64,Business Development (Sales),Dainik Bhaskar Group,Ajmer,Immediately,1 Month,"8,000-10,000 /month",20 Aug' 22
65,Photography,Archies Lifestyle,Delhi,Immediately,3 Months,"15,000 /month",19 Aug' 22
66,Marketing,Think & Learn Private Limited (BYJU'S),Surat,Immediately,2 Months,"18,000 /month",20 Aug' 22
67,Marketing,Think & Learn Private Limited (BYJU'S),Ahmedabad,Immediately,2 Months,"18,000 /month",20 Aug' 22
68,Social Media Marketing,SBI Funds Management Limited,Kota,Immediately,3 Months,"2,000 /month",19 Aug' 22
69,Graphic Design,SBI Funds Management Limited,Kota,Immediately,3 Months,"2,000 /month",19 Aug' 22
70,Business Development (Sales),Times Group,Work From Home,Immediately,6 Weeks,"1,000-4,000 /month",20 Aug' 22
71,Quality Assurance,Titan Company Limited,Hosur,Immediately,6 Months,"25,000 /month",19 Aug' 22
72,Business Development (Sales),Aditya Birla Capital,Kolkata,Immediately,3 Months,"2,000-4,000 /month",19 Aug' 22
73,Business Development (Sales),Urban Company,Mumbai,Immediately,5 Months,"18,000 /month",19 Aug' 22
74,Social Media Marketing,Bewakoof,Bangalore,Immediately,3 Months,"10,000 /month",19 Aug' 22
75,Graphic Design,UpGrad (UpGrad Education Private Limited),Bangalore,Immediately,3 Months,"15,000 /month",19 Aug' 22
76,Marketing,BYJU'S The Learning App,Rayagada,Immediately,3 Months,"20,000 /month",22 Aug' 22
77,Business Development (Sales),UpGrad (UpGrad Education Private Limited),Surat,Immediately,2 Months,"12,000 /month",19 Aug' 22
78,Marketing,Nykaa Fashion,Mumbai,Immediately,3 Months,"5,000 /month",19 Aug' 22
79,Human Resources (HR),Economic Times Edge,Mumbai,Immediately,3 Months,"5,000 /month",19 Aug' 22
80,Business Development (Sales),Economic Times Edge,Work From Home,Immediately,3 Months,"5,000 /month",19 Aug' 22
81,Business Development (Sales),Urban Company,Raipur,Immediately,3 Months,"12,000-15,000 /month",19 Aug' 22
82,Human Resources (HR),DCB Bank,Mumbai,Immediately,3 Months,"7,000 /month",18 Aug' 22
83,Office Operations,Aam Aadmi Party,Delhi,Immediately,2 Months,Unpaid,19 Aug' 22
84,Business Development (Sales),NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6 Months,"15,000 /month",18 Aug' 22
85,Corporate Sales,Internshala,Gurgaon,Immediately,6 Months,"20,000 /month",18 Aug' 22
86,Proofreading & Client Interaction,Internshala,Work From Home,Immediately,6 Months,"16,667 /month",18 Aug' 22
87,Video Content Development,Internshala,Gurgaon,Immediately,6 Months,"20,000 /month",31 Aug' 22
88,Deep Learning Programming,Bosch,Bangalore,Immediately,3 Months,"18,000 /month",18 Aug' 22
89,Visual Design,Internshala,Gurgaon,Immediately,6 Months,"20,000 /month",31 Aug' 22
90,Business Development (Sales),Urban Company,Navi Mumbai,Immediately,6 Months,"15,000-20,000 /month",18 Aug' 22
91,Business Development (Sales),HT Media,Delhi,Immediately,3 Months,"3,000-10,000 /month",18 Aug' 22
92,Business Development (Sales),Urban Company,Bhubaneswar,Immediately,2 Months,"15,000 /month",17 Aug' 22
93,Marketing,BYJU'S The Learning App,Kolkata,Immediately,2 Months,"20,000 /month",17 Aug' 22
94,Film Production - Marketing,Disney Star,Kolkata,Immediately,6 Months,"15,000 /month",17 Aug' 22
95,Digital Marketing,Barista Cafe Academy,Thane,Immediately,2 Months,"2,000 /month",17 Aug' 22
96,Fashion Merchandise Planning & Product Development,Nykaa Fashion,Mumbai,Immediately,3 Months,"3,500-5,000 /month",17 Aug' 22
